nombre,tipo,familia,nombre_cientifico,desc,img_animal
MONO AULLADOR,Mamífero,Atelidae,Alouatta palliata,"Sus gritos pueden escucharse a kilómetros de distancia, ya que posee una cuya característica en la garganta de manera de coto debido al gran desarrollo del hueso tiroides.Tiene actividad diurna, es arborícola y gregario. Se alimenta principalmente de hojas pero puede consumir ciertos frutos, flores y néctar. Se mueve lentamente y es sedentario. Dentro de los primates se considera como una especie grande. La UICN considera a esta especie como de Preocupación Menor.",monob
ZORRA PAMPERA,Mamífero,Canidae,Lycalopex sechurae,"Especie de tamaño mediano dentro de los carnívoros. La cabeza es pequeña. Las orejas alcanzan dos tercios del largo de la cabeza. Esta especie es generalmente solitaria y pocas veces es encontrada en grupos de más de tres individuos. Grupos más grandes han sido observados donde hay mayor concentración de alimento. Se ha reportado de ambientes desérticos y adyacentes a playas, áreas culitvadas, bosques secos, estimaciones, cercano a acantilados, y en el oeste de las montañas de los Andes.",zorro
VENADO COLA BLANCA,Mamífero,Cervidae,Odocoileus peruvianus,"Esta especie presenta el pelaje grisáceo con tonalidades más rojizas que la especie de páramo. El rostro presenta el extremo del mentón de color blanco, de la misma manera presenta una banda a los costados superiores de la boca de color claro hasta la parte trasera de la nariz, más no se unen en el centro. Presenta una coloración más clara (blanquecino) alrededor de los ojos. Las orejas son grandes, alrededor de la mitad del largo del rostro, con una franja de pelos blancos en el borde interno. La parte inferior de la cola es blanca, de menor tamaño que en las especies neárticas, cuando se asusta la levanta para alarmar a otros miembros del grupo. Es una especie terrestre, crepuscular y rumiante. Consume plantas selectivamente. Se considera que prefiere arbustos y árboles, también puede consumir semillas y frutos. No se conoce la composición de su dieta en los páramos del Ecuador.",venado
MURCIÉLAGO FRUTERO,Mamífero,Phyllostomidae,Artibeus fraterculus,"Los murciélagos fruteros son de tamaño mediano, de color parduzco por arriba, más claro por debajo; el pelaje es de textura aterciopelada, cubriendo parte de las orejas y membranas, el antebrazo mide cerca de 6 cm. Es una especie muy resistente a la alteración de su hábitat. Utilizan como refugios árboles huecos, paredones a la orilla de ríos, minas, y construcciones humanas. En la provincia de Loja, una mina en funcionamiento para la explotación de carbón albergaba una colonia de 709 individuos; esta es la colonia más numerosa que se ha reportado para cualquier especie de Artibeus. Es una especie frugívora. La UICN considera a esta especie como de Preocupación Menor.",murcielago
RATA ESPINOSA,Mamífero,Echimyidae,Proechimys decumanus,"Son ratas de tamaño grande y cuerpo esbelto. Cabeza larga y angosta, con el hocico pronunciado. Ojos grandes de color marrón oscuro. Orejas desnudas o con escasos y dispersos pelos cortos, de color gris oscuro a marrón, de tamaño mediano, más largas que anchas, levantadas y sobresalientes por encima de la corona. El pelaje dorsal es duro y cerdoso, más evidente hacia la mitad de la espalda, de color marrón pálido a marrón amarillento, más pálido y grisáceo hacia los flancos y por lo general con pelos más oscuros entremezclados. Son nocturnos, terrestres y solitarios. Se alimenta de semillas y frutos. Cuando el alimento es abundante, pueden almacenar en sus refugios nueces de palmas y otros frutos duros. En menor cantidad comen hongos, hojas tiernas y eventualmente insectos. Durante el día se refugian en troncos huecos, en agujeros en el suelo o entre la vegetación espesa.",rata
OSO PEREZOSO,Mamífero,Megalonychidae,Choloepus hoffmanni,"Es una especie mediana de mamífero. Presenta el pelaje largo, grueso y ondulado. El dorso es acanelado ligeramente verdoso a consecuencia de la relación simbiótica con algas. Los flancos son más oscuros que el dorso. La región ventral tiene similar coloración que el dorso pero la garganta contrasta al ser mucho más pálida y con los pelos más finos. Es principalmente nocturno, arborícola y solitario. Tiene una dieta herbívora-omnívora, consume básicamente hojas pero también puede comer algunos frutos. La hembra pare una cría por vez.Las crías llegan a su independencia alrededor de los nueve meses de edad. La reproducción se ha registrado durante todo el año, con un ligero aumento estacional.",perezoso
OSO HORMIGUERO,Mamífero,Myrmecophagidae,Tamandua mexicana,"Es una especie de tamaño mediano entre los hormigueros. Su pelaje es denso, corto, uniforme y ligeramente rígido, posee una mancha negra a menara de chaleco que nace desde los hombros y se despliega por la espalda y el vientre hasta la base de la cola. Los juveniles presentan el pelaje más largo y los pelos amarillos entremezclados en el chaleco negro. Su cabeza alargada, convexa y tubular. No presenta dientes. Su lengua es larga delgada y pegajosa. Los ojos son pequeños. Orejas redondeadas y pequeñas. El hocico es desnudo hasta el nivel de los ojos. Cola larga, gruesa y prensil con la base peluda y hacia la punta desnuda. Las patas delanteras presentan cuatro garras largas conspicuas, mientras las patas traseras tienen cinco garras. Es una especie de hábitos tanto diurnos como nocturnos, solitarios y arborícolas. Su principal alimento son las termitas, hormigas y abejas extraídas de sus nidos.",hormiguero
MONO ARAÑA,Mamífero,Atelidae,Ateles fusciceps,"Es un primate diurno. Para su alimentación, prefieren las frutas maduras y secas, así como semillas, insectos e incluso en ocasiones se puede alimentar de huevos de ciertas especies de aves. Las extremidades sonlargas, cola prensil, brazos delgados al igual que sus cuatro dedos y carece de pulgar. El color es grisáceo o negruzco. El clima de los bosques en que viven se asegura un suministro abundante de alimentos todo el año, por lo que no necesitan realizar migraciones. Principalmente presente en bosques primarios. Se reporta un 90% de las observaciones en bosque primario y un 10% en áreas abiertas naturales. Usan árboles de 10 a 30 metros, más comunmente en árboles de 16 a 20 metros. La UICN considera a esta especie en Peligro Ceítico.",monoa
JAGUAR,Mamífero,Felidae,Panthera onca,"Es una especie de tamaño grande, el félido más grande de Sudamérica. Cabeza grande y robusta, con los ojos grandes. Las orejas son pequeñas y redondeadas. Los caninos son largos y muy fuertes. Cuerpo de apariencia fuerte y robusto. El color del pelaje dorsal varía de oro pálido a un rojo oxidado y presenta una serie de marcas circulares oscuras en forma de roseta que rodean a una o más manchas pequeñas de color negro. Felino terrestre, solitario, de hábitos diurnos y nocturnos. Es un carnívoro oportunista, que puede capturar cualquier presa que encuentre. Entre las que se encuentran mayoritariamente mamíferos como primates, armadillos, perezosos, roedores, ardillas, marsupiales, puede también capturar otros carnívoros como Potos, especies de coatí y el pecarí que representa la proporción más importante de la dieta del jaguar.",jaguar
ARDILLA DE GUAYAQUIL,Mamífero,Sciuridae,Sciurus stramineus,"Es una especie de ardilla que mide entre 18 y 22 cm el cuerpo y la cola entre 25 y 33 cm, es de color grisáceo para mimetizarse con el ambiente. Se alimenta de frutos y se refugia en los huecos de los árboles. La UICN considera a esta especie como de Preocupación Menor. Habita en bosques secos, húmedos y montanos incluyendo bosques maduros y secundarios y ha sido observada en las plantaciones de café.",ardilla
